Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name
Belfast South,13,13,Brian,FALOON ,,999,People Before Profit Alliance 
Belfast South,13,14,Mark,FINLAY ,,26,Ulster Unionist Party
Belfast South,13,15,Anna,LO ,,19,Alliance Party 
Belfast South,13,16,Paddy,LYNN ,,998,Workers Party 
Belfast South,13,17,Alex,MASKEY ,,24,Sinn Fein 
Belfast South,13,18,Conall Patrick,MCDEVITT ,,23,Social Democratic and Labour Party
Belfast South,13,19,Alasdair,MCDONNELL ,,23,Social Democratic and Labour Party
Belfast South,13,20,Michael,MCGIMPSEY ,,26,Ulster Unionist Party
Belfast South,13,21,Paddy,MEEHAN ,,996,Socialist Party 
Belfast South,13,22,Ruth Frances,PATTERSON ,,20,Democratic Unionist Party
Belfast South,13,23,Samuel Charles,SMYTH ,,997,Procapitalism 
Belfast South,13,24,Jimmy,SPRATT ,,20,Democratic Unionist Party
Belfast South,13,25,Nico,TORREGROSA ,,689,UK Independence Party
Belfast West,17,26,Alex,ATTWOOD,,23,Social Democratic and Labour Party
Belfast West,17,27,Gerry,CARROLL,,999,People Before Profit Alliance
Belfast West,17,28,Colin,KEENAN,,23,Social Democratic and Labour Party
Belfast West,17,29,Brian,KINGSTON,,20,Democratic Unionist Party
Belfast West,17,30,Pat,LAWLOR,,996,Socialist Party (NI)
Belfast West,17,31,John Terence,LOWRY,,998,Workers Party
Belfast West,17,32,Bill,MANWARING,,26,Ulster Unionist Party
Belfast West,17,33,Paul,MASKEY,,24,Sinn Fein
Belfast West,17,34,Fra,MCCANN,,24,Sinn Fein
Belfast West,17,35,Jennifer,MCCANN,,24,Sinn Fein
Belfast West,17,36,Dan,MCGUINNESS,,19,Alliance Party
Belfast West,17,37,Brian,PELAN,,21,Independent
Belfast West,17,38,Sue,RAMSEY,,24,Sinn Fein
Belfast West,17,39,Pat,SHEEHAN,,24,Sinn Fein
East Antrim,1,57,Roy,BEGGS,,26,Ulster Unionist Party
East Antrim,1,58,Stewart,DICKSON,,19,Alliance Party
East Antrim,1,59,Daniel,DONNELLY,,111,Green Party
East Antrim,1,60,David,HILDITCH,,20,Democratic Unionist Party
East Antrim,1,61,Gordon,LYONS,,20,Democratic Unionist Party
East Antrim,1,62,Justin,MCCAMPHILL,,23,Social Democratic and Labour Party
East Antrim,1,63,Rodney,MCCUNE,,26,Ulster Unionist Party
East Antrim,1,64,Oliver,MCMULLAN,,24,Sinn Fein
East Antrim,1,65,Steven,MOORE,,995,British Nationalist Party
East Antrim,1,66,Gerardine Marie,MULVENNA,,19,Alliance Party
East Antrim,1,67,Alastair,ROSS,,20,Democratic Unionist Party
East Antrim,1,68,Ruth,WILSON,,141,Traditional Unionist Voice
East Antrim,1,69,Sammy,WILSON,,20,Democratic Unionist Party
East Londonderry,3,70,Bernadette,ARCHIBALD,,24,Sinn Fein
East Londonderry,3,71,Gregory,CAMPBELL,,20,Democratic Unionist Party
East Londonderry,3,72,Thomas Joseph,CONWAY,,23,Social Democratic and Labour Party
East Londonderry,3,73,John,DALLAT,,23,Social Democratic and Labour Party
East Londonderry,3,74,Douglas,BOYD,,141,Traditional Unionist Voice
East Londonderry,3,75,Barry,FITZPATRICK,,19,Alliance Party
East Londonderry,3,76,David,HARDING,,26,Ulster Unionist Party
East Londonderry,3,77,Lesley,MACAULAY,,26,Ulster Unionist Party
East Londonderry,3,78,David,MCCLARTY,,21,Independent
East Londonderry,3,79,Adrian,MCQUILLAN,,20,Democratic Unionist Party
East Londonderry,3,80,Cathal,O HOISIN,,24,Sinn Fein
East Londonderry,3,81,George,ROBINSON,,20,Democratic Unionist Party
Fermanagh and South Tyrone,4,92,Pat,COX,,21,Independent
Fermanagh and South Tyrone,4,93,Kenny,DONALDSON,,26,Ulster Unionist Party
Fermanagh and South Tyrone,4,94,Alex,ELLIOTT,,141,Traditional Unionist Voice
Fermanagh and South Tyrone,4,95,Tom,ELLIOTT,,26,Ulster Unionist Party
Fermanagh and South Tyrone,4,96,Phil,FLANAGAN,,24,Sinn Fein
Fermanagh and South Tyrone,4,97,Arlene,FOSTER,,20,Democratic Unionist Party
Fermanagh and South Tyrone,4,98,Tommy,GALLAGHER,,23,Social Democratic and Labour Party
Fermanagh and South Tyrone,4,99,Michelle,GILDERNEW,,24,Sinn Fein
Fermanagh and South Tyrone,4,100,Sean,LYNCH,,24,Sinn Fein
Fermanagh and South Tyrone,4,101,Maurice,MORROW,,20,Democratic Unionist Party
Fermanagh and South Tyrone,4,102,Hannah,SU,,19,Alliance Party
Foyle,5,114,Martina,ANDERSON,,24,Sinn Fein
Foyle,5,115,Pol,CALLAGHAN,,23,Social Democratic and Labour Party
Foyle,5,116,Terry,DOHERTY,,21,Independent
Foyle,5,117,Mark H,DURKAN,,23,Social Democratic and Labour Party
Foyle,5,118,Colum,EASTWOOD,,23,Social Democratic and Labour Party
Foyle,5,119,Paul,FLEMING,,24,Sinn Fein
Foyle,5,120,William,HAY,,20,Democratic Unionist Party
Foyle,5,121,Eamonn,MCCANN,,999,People Before Profit Alliance
Foyle,5,122,Raymond,MCCARTNEY,,24,Sinn Fein
Foyle,5,123,Paul,MCFADDEN,,21,Independent
Foyle,5,124,Keith,MCGRELLIS,,19,Alliance Party
Foyle,5,125,Pat,RAMSEY,,23,Social Democratic and Labour Party
Lagan Valley,6,126,Pat,CATNEY,,23,Social Democratic and Labour Party
Lagan Valley,6,127,Jonathan,CRAIG,,20,Democratic Unionist Party
Lagan Valley,6,128,Paul,GIVAN,,20,Democratic Unionist Party
Lagan Valley,6,129,Brenda,HALE,,20,Democratic Unionist Party
Lagan Valley,6,130,Mark,HILL,,26,Ulster Unionist Party
Lagan Valley,6,131,Trevor,LUNN,,19,Alliance Party
Lagan Valley,6,132,Basil,MCCREA,,26,Ulster Unionist Party
Lagan Valley,6,133,Edwin,POOTS,,20,Democratic Unionist Party
Lagan Valley,6,134,Conor,QUINN,,111,Green Party
Lagan Valley,6,135,Mary-Kate,QUINN,,24,Sinn Fein
Lagan Valley,6,136,Lyle,REA,,141,Traditional Unionist Voice
Mid Ulster,7,137,Harry,HUTCHINSON,,999,People Before Profit Alliance
Mid Ulster,7,138,Austin,KELLY,,23,Social Democratic and Labour Party
Mid Ulster,7,139,Gary,MCCANN,,21,Independent
Mid Ulster,7,140,Hugh,MCCLOY,,21,Independent
Mid Ulster,7,141,Ian,MCCREA,,20,Democratic Unionist Party
Mid Ulster,7,142,Michael,MCDONALD,,19,Alliance Party
Mid Ulster,7,143,Patsy,MCGLONE,,23,Social Democratic and Labour Party
Mid Ulster,7,144,Martin,MCGUINNESS,,24,Sinn Fein
Mid Ulster,7,145,Walter,MILLAR,,141,Traditional Unionist Voice
Mid Ulster,7,146,Ian Patrick,MILNE,,24,Sinn Fein
Mid Ulster,7,147,Francie,MOLLOY,,24,Sinn Fein
Mid Ulster,7,148,Michelle,ONEILL,,24,Sinn Fein
Mid Ulster,7,149,Sandra,OVEREND,,26,Ulster Unionist Party
Newry and Armagh,8,150,Cathal,BOYLAN,,24,Social Democratic and Labour Party
Newry and Armagh,8,151,Dominic,BRADLEY,,23,Sinn Fein
Newry and Armagh,8,152,Mickey,BRADY,,23,Sinn Fein
Newry and Armagh,8,153,Barrie,HALLIDAY,,141,Traditional Unionist Voice
Newry and Armagh,8,154,William George,IRWIN,,20,Democratic Unionist Party
Newry and Armagh,8,155,Danny,KENNEDY,,26,Ulster Unionist Party
Newry and Armagh,8,156,James,MALONE,,21,Independent
Newry and Armagh,8,157,Conor,MURPHY,,23,Sinn Fein
Newry and Armagh,8,158,David,MURPHY,,19,Alliance Party
Newry and Armagh,8,159,Thomas,OHANLON,,23,Social Democratic and Labour Party
Newry and Armagh,8,160,Robert Stewart,WOODS,,21,Independent
North Antrim,9,161,Jim,ALLISTER,,141,Traditional Unionist Voice
North Antrim,9,162,Jayne,DUNLOP,,19,Alliance Party
North Antrim,9,163,Paul,FREW,,20,Democratic Unionist Party
North Antrim,9,164,Bill,KENNEDY,,26,Ulster Unionist Party
North Antrim,9,165,David,MCILVEEN,,20,Democratic Unionist Party
North Antrim,9,166,Daithi,MCKAY,,24,Sinn Fein
North Antrim,9,167,Declan,OLOAN,,23,Social Democratic and Labour Party
North Antrim,9,168,Audrey,PATTERSON,,141,Traditional Unionist Voice
North Antrim,9,169,Evelyne,ROBINSON,,20,Democratic Unionist Party
North Antrim,9,170,Mervyn,STOREY,,20,Democratic Unionist Party
North Antrim,9,171,Robin,SWANN,,26,Ulster Unionist Party
North Down,11,172,Steven,AGNEW,,111,Green Party
North Down,11,173,Colin,BREEN,,26,Ulster Unionist Party
North Down,11,174,Alan,CHAMBERS,,21,Independent
North Down,11,175,Leslie,CREE,,26,Ulster Unionist Party
North Down,11,176,Gordon,DUNNE,,20,Democratic Unionist Party
North Down,11,177,Alex,EASTON,,20,Democratic Unionist Party
North Down,11,178,Stephen,FARRY,,19,Alliance Party
North Down,11,179,Conor,KEENAN,,24,Sinn Fein
North Down,11,180,Liam,LOGAN,,26,Ulster Unionist Party
North Down,11,181,Alan,MCFARLAND,,21,Independent
North Down,11,182,Fred,MCGLADE,,689,UK Independence Party
North Down,11,183,Peter,WEIR,,20,Democratic Unionist Party
North Down,11,184,Anne,WILSON,,19,Alliance Party
South Antrim,12,82,Thomas,BURNS,,23,Social Democratic and Labour Party
South Antrim,12,83,Trevor,CLARKE,,20,Democratic Unionist Party
South Antrim,12,84,Adrian David,COCHRANE-WATSON,,26,Ulster Unionist Party
South Antrim,12,85,David RJ,FORD,,19,Alliance Party
South Antrim,12,86,Paul,GIRVAN,,20,Democratic Unionist Party
South Antrim,12,87,Danny,KINAHAN,,26,Ulster Unionist Party
South Antrim,12,88,Pam,LEWIS,,20,Democratic Unionist Party
South Antrim,12,89,Mel,LUCAS,,141,Traditional Unionist Voice
South Antrim,12,90,Mitchel,MCLAUGHLIN,,24,Sinn Fein
South Antrim,12,91,Stephen,PARKES,,995,British Nationalist Party
South Down,14,185,Naomi,BAILIE ,Sinn Fein ,24,Sinn Fein
South Down,14,186,Willie,CLARKE ,Sinn Fein ,24,Sinn Fein
South Down,14,187,Cadogan,ENRIGHT ,Green Party ,111,Green Party
South Down,14,188,David,GRIFFIN ,Alliance Party ,19,Alliance Party
South Down,14,189,John,MCCALLISTER ,UUP ,26,Ulster Unionist Party
South Down,14,190,Karen,MCKEVITT ,SDLP  ,23,Social Democratic and Labour Party
South Down,14,191,Eamonn,ONEILL ,SDLP ,23,Social Democratic and Labour Party
South Down,14,192,Henry,REILLY ,UKIP ,689,UK Independence Party
South Down,14,193,Margaret,RITCHIE ,SDLP ,23,Social Democratic and Labour Party
South Down,14,194,Caitriona,RUANE ,Sinn Fein ,24,Sinn Fein
South Down,14,195,Jim,WELLS ,DUP ,20,Democratic Unionist Party
Strangford,15,196,Cecil,ANDREWS,,689,UK Independence Party
Strangford,15,197,Jonathan,BELL,,20,Democratic Unionist Party
Strangford,15,198,Joe,BOYLE,,23,Social Democratic and Labour Party
Strangford,15,199,Mickey,COOGAN,,24,Sinn Fein
Strangford,15,200,Simon,HAMILTON,,20,Democratic Unionist Party
Strangford,15,201,Kieran,MCCARTHY,,19,Alliance Party
Strangford,15,202,Michelle,MCILVEEN,,20,Democratic Unionist Party
Strangford,15,203,David,MCNARRY,,26,Ulster Unionist Party
Strangford,15,204,Mike,NESBITT,,26,Ulster Unionist Party
Strangford,15,205,Billy,WALKER,,20,Democratic Unionist Party
Strangford,15,206,Terry,WILLIAMS,,141,Traditional Unionist Voice
Upper Bann,16,207,Sydney Alexander,ANDERSON,,20,Democratic Unionist Party
Upper Bann,16,208,Joanne Elizabeth,DOBSON,,26,Ulster Unionist Party
Upper Bann,16,209,Samuel,GARDINER,,26,Ulster Unionist Party
Upper Bann,16,210,Sam,HAMILTON,,19,Alliance Party
Upper Bann,16,211,Dolores,KELLY,,23,Social Democratic and Labour Party
Upper Bann,16,212,Colin Craig,MCCUSKER,,26,Ulster Unionist Party
Upper Bann,16,213,Johnny,MCGIBBON,,24,Sinn Fein
Upper Bann,16,214,Sheila Mary,MCQUAID,,19,Alliance Party
Upper Bann,16,215,Stephen,MOUTRAY,,20,Democratic Unionist Party
Upper Bann,16,216,John,O'DOWD,,24,Sinn Fein
Upper Bann,16,217,Barbara,TROTTER,,689,UK Independence Party
Upper Bann,16,218,David,VANCE,,141,Traditional Unionist Voice
West Tyrone,18,103,Michaela,BOYLE,,24,Sinn Fein
West Tyrone,18,104,Allan,BRESLAND,,20,Democratic Unionist Party
West Tyrone,18,105,Thomas,BUCHANAN,,20,Democratic Unionist Party
West Tyrone,18,106,Eric Herbert Anton,BULLICK,,19,Alliance Party
West Tyrone,18,107,Joe,BYRNE,,23,Social Democratic and Labour Party
West Tyrone,18,108,Pat,DOHERTY,,24,Sinn Fein
West Tyrone,18,109,Ross,HUSSEY,,26,Ulster Unionist Party
West Tyrone,18,110,Declan,MCALEER,,24,Sinn Fein
West Tyrone,18,111,Barry,MCELDUFF,,24,Sinn Fein
West Tyrone,18,112,Paddy,MCGOWAN,,21,Independent
West Tyrone,18,113,Eugene,MCMENAMIN,,21,Independent
